date,site,block,plot,treatment,quad,count,id,comment_code,year,season,type,keyfield,datasetid,POINT_X,POINT_Y,table_id,layer_id
10/30/1995,G,1,1,B,1,10,SMXVQF95.NS1,0,1995,F,RF,G111,DSL2006018,-106.8624836,32.59500097,100-086-5.1,210-086-2.1
10/30/1995,G,1,1,B,2,7,SMXVQF95.NS1,0,1995,F,RF,G112,DSL2006018,-106.8624396,32.59497486,100-086-5.1,210-086-2.1
10/30/1995,G,1,1,B,3,6,SMXVQF95.NS1,0,1995,F,RF,G113,DSL2006018,-106.8623782,32.59495182,100-086-5.1,210-086-2.1
10/30/1995,G,1,1,B,4,29,SMXVQF95.NS1,0,1995,F,RF,G114,DSL2006018,-106.8623285,32.59492587,100-086-5.1,210-086-2.1
10/30/1995,G,1,1,B,5,13,SMXVQF95.NS1,0,1995,F,RF,G115,DSL2006018,-106.8622803,32.59489522,100-086-5.1,210-086-2.1
10/30/1995,G,1,1,B,6,8,SMXVQF95.NS1,0,1995,F,RF,G116,DSL2006018,-106.8622244,32.59486746,100-086-5.1,210-086-2.1
10/30/1995,G,1,1,B,7,7,SMXVQF95.NS1,0,1995,F,RF,G117,DSL2006018,-106.8622546,32.5948241,100-086-5.1,210-086-2.1
10/30/1995,G,1,1,B,8,16,SMXVQF95.NS1,0,1995,F,RF,G118,DSL2006018,-106.862312,32.59485086,100-086-5.1,210-086-2.1
10/30/1995,G,1,1,B,9,11,SMXVQF95.NS1,0,1995,F,RF,G119,DSL2006018,-106.862362,32.59487564,100-086-5.1,210-086-2.1
10/30/1995,G,1,1,B,10,5,SMXVQF95.NS1,0,1995,F,RF,G1110,DSL2006018,-106.8624145,32.59490095,100-086-5.1,210-086-2.1
10/30/1995,G,1,1,B,11,7,SMXVQF95.NS1,0,1995,F,RF,G1111,DSL2006018,-106.8624638,32.59492805,100-086-5.1,210-086-2.1
10/30/1995,G,1,1,B,12,12,SMXVQF95.NS1,0,1995,F,RF,G1112,DSL2006018,-106.8625229,32.59495495,100-086-5.1,210-086-2.1
10/30/1995,G,1,1,B,13,9,SMXVQF95.NS1,0,1995,F,RF,G1113,DSL2006018,-106.8625505,32.59490916,100-086-5.1,210-086-2.1
10/30/1995,G,1,1,B,14,15,SMXVQF95.NS1,0,1995,F,RF,G1114,DSL2006018,-106.862497,32.59488496,100-086-5.1,210-086-2.1
10/30/1995,G,1,1,B,15,4,SMXVQF95.NS1,0,1995,F,RF,G1115,DSL2006018,-106.8624479,32.59485599,100-086-5.1,210-086-2.1
10/30/1995,G,1,1,B,16,10,SMXVQF95.NS1,0,1995,F,RF,G1116,DSL2006018,-106.8623924,32.59483043,100-086-5.1,210-086-2.1
10/30/1995,G,1,1,B,17,10,SMXVQF95.NS1,0,1995,F,RF,G1117,DSL2006018,-106.862337,32.59480144,100-086-5.1,210-086-2.1
10/30/1995,G,1,1,B,18,22,SMXVQF95.NS1,0,1995,F,RF,G1118,DSL2006018,-106.862287,32.59477678,100-086-5.1,210-086-2.1
10/30/1995,G,1,1,B,19,9,SMXVQF95.NS1,0,1995,F,RF,G1119,DSL2006018,-106.862313,32.59473184,100-086-5.1,210-086-2.1
10/30/1995,G,1,1,B,20,3,SMXVQF95.NS1,0,1995,F,RF,G1120,DSL2006018,-106.8623683,32.59475935,100-086-5.1,210-086-2.1
10/30/1995,G,1,1,B,21,11,SMXVQF95.NS1,0,1995,F,RF,G1121,DSL2006018,-106.8624268,32.5947805,100-086-5.1,210-086-2.1
